Observed_Forward_Price,Predicted_Forward_Price,Filtered_Beta_1,Filtered_Beta_2
3.734569580031052,0.552342083801577,3.188681327031813,0.012147705889625215
3.7600366484302645,3.187525703806302,3.405039905878253,-0.08339493981922981
3.749974553473747,3.44706888690992,3.4844897170508444,-0.11703164580601545
3.7450234647319762,3.541722252744174,3.525648237276479,-0.13336194694124176
3.765145809567386,3.5902619542914382,3.554606725444744,-0.1441632066174375
3.7639869266007415,3.6241025359074497,3.574389958872259,-0.15082165656162086
3.763754988759043,3.6468953419051235,3.588923000225896,-0.1551124236608088
3.757005283161537,3.663367779826266,3.5994511579615143,-0.15759463368032367
3.752323626670471,3.675017879042368,3.6074649114721864,-0.15894229029078621
3.7595708822364693,3.6836407638678117,3.6146959601811366,-0.15995543516853714
3.776203282285611,3.69132974693975,3.622073613787267,-0.16107464760091694
3.7771192429633444,3.699213276697974,3.62846155991597,-0.161752975010662
3.7683835552265355,3.7059078220476773,3.633452111195751,-0.16178000037499896
3.7679216614538893,3.710910588602168,3.637841550456333,-0.16153992346382115
3.758871825933971,3.715191514786483,3.6412531643670762,-0.1608332033277327
3.7630588522881876,3.718283696163502,3.6445817526925515,-0.16011280853383403
3.7340917969354845,3.721286671106046,3.646134197668766,-0.15848121836643395
3.7309806301325716,3.7221016487956224,3.6474558850288568,-0.15674704020123617
3.6926224403927708,3.7226394998151995,3.646927440519088,-0.15401989242193437
3.6160399079369787,3.7208784036792775,3.6430837903756834,-0.14945993670012034
3.6483178423578133,3.7149736856031628,3.641054043840338,-0.14592867866550904
3.628598523229006,3.711347835258641,3.6384440077158606,-0.14207356272354285
3.6283329542459026,3.7069953138273757,3.6360992320942787,-0.1383819765732799
3.6259396543400624,3.702981967215346,3.6339024887085722,-0.13478878592308804
3.6519561000093383,3.699161126913568,3.632908470979272,-0.13192777476698714
3.6990772790903823,3.6968739522527745,3.633770116485762,-0.1302056151734187
3.718923575462313,3.6969571937286436,3.635331509120586,-0.128929203418489
3.721346644251438,3.697941657222591,3.636919431608512,-0.1276865980321722
3.6773128177424708,3.6989679308106167,3.6369419900212,-0.12548478511636585
3.6838669122903918,3.6979952852626865,3.637223415591167,-0.12346388628801258
3.6943643843445058,3.697363278767854,3.6378718073327514,-0.12169326778101633
3.7032753343976688,3.697211363390583,3.6388075599553913,-0.12012284743400418
3.701548857214599,3.6974372970554166,3.63967184139293,-0.11852299757548353
3.7103962975761857,3.6975784576028174,3.640799986080256,-0.11710889100123921
3.6778185067545115,3.6980674360588424,3.640897623489333,-0.11504604143833475
3.7005609588877744,3.69723267996599,3.6417124424283456,-0.11346580044995408
3.663818023518565,3.69733324108633,3.641412586495953,-0.1111815114613735
3.6200651381135764,3.696000902588178,3.6398542590758822,-0.10810721964516017
3.676300671907076,3.6930530168774696,3.6400475543329183,-0.1061953272369015
3.7118632905043114,3.692382150205344,3.6412936695909415,-0.10498132971512489
3.694612985961697,3.693079547117144,3.642011609679997,-0.10343915427183002
3.7249702742582897,3.69310043474633,3.6435927240014374,-0.10246492006088259
3.711374531941307,3.694241202052661,3.644744075227759,-0.10122391221898705
3.6821065698265074,3.694831626457931,3.645042884876453,-0.09945298051221509
3.7010550300440697,3.694329987423673,3.645883712502051,-0.09804273594625111
3.7218305542536223,3.694533394418565,3.6472935751154747,-0.09700206772984131
3.719408659148759,3.6954728823133984,3.6486022242134326,-0.09590525666845348
3.7164946211469094,3.696285780521484,3.649800466717267,-0.09474785632432123
3.7150344115907874,3.696960886205549,3.6509331283154594,-0.09355875478009619
3.730501128804756,3.6975560822643696,3.6524694339647588,-0.09262282087189158
3.6965995771290743,3.6986693523661724,3.6530371327599123,-0.09111008913797815
3.7121075802331434,3.6985533070511263,3.6540275239304463,-0.08986311203932451
3.6926224403927708,3.6989800733385145,3.654467087470629,-0.08830299907069925
3.660737148167656,3.6987144767834668,3.65403613500882,-0.08625523916025327
3.6856241613932634,3.6973579512365693,3.654314973516518,-0.08464075433501088
3.6301904577652566,3.696907053952045,3.653087019520373,-0.08219401909766888
3.5975861956675455,3.6945731928275936,3.651024421350312,-0.07932033918667745
3.5876769486047735,3.691211711537882,3.648772326961267,-0.07639117528351164
3.6157709822932977,3.6876356556547405,3.6473722744867514,-0.07397351153717942
3.6373229671995344,3.6851428361615004,3.646618093474959,-0.07193894051873173
3.675540889674756,3.683469043351093,3.6469441760898373,-0.0705008393730887
3.666378188767423,3.6831451143570653,3.6470229220759656,-0.06895066335946005
3.6240742307478206,3.682523191681771,3.6459553086298193,-0.0668376827573561
3.7042605561522386,3.680500525856366,3.647128009172665,-0.06587525183628468
3.7297814454343623,3.6812382143881566,3.6489770009330167,-0.06524744871225338
3.7314599016490546,3.6828034435494974,3.650828485693901,-0.06461505416448071
3.723522397557476,3.6843690904201143,3.6524182823451175,-0.06385320631510469
3.6988297849671046,3.6856145371987123,3.6532926151260328,-0.0627573715897448
3.727378753264546,3.685993560386777,3.6549403406556977,-0.0620199667206412
3.7293013686128518,3.687307984099088,3.6566041140193466,-0.06128636737253903
3.7379076851812907,3.6886401757141254,3.658468732752475,-0.0606369090840808
3.735285826928092,3.6902112438661443,3.6602172561950175,-0.05993160024291026
3.7476199491365363,3.691640972670344,3.6622689424787804,-0.05934865561246303
3.767690634538226,3.69342917207887,3.6648313756128874,-0.058966726993017554
3.8091039514203047,3.6958189761616995,3.668487242572343,-0.059008866746634615
3.826682958261131,3.6994938899935748,3.6725400824310794,-0.059178696303749646
3.8179320820285505,3.703623491618335,3.676240613309725,-0.05918066411184077
